,movie,year,imdb,metascore,votes,n_imdb
3069,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,298265,82.0
3070,Justice League,2017,6.5,45,296382,65.0
3071,The Shape of Water,2017,7.4,87,267737,74.0
3072,John Wick: Chapter 2,2017,7.5,75,250670,75.0
3073,Coco,2017,8.4,81,238979,84.0
3074,Beauty and the Beast,2017,7.2,65,222336,72.0
3075,Kong: Skull Island,2017,6.7,62,220604,67.0
3076,Jumanji: Welcome to the Jungle,2017,7.0,58,218185,70.0
3077,Alien: Covenant,2017,6.4,65,213873,64.0
3078,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,212961,66.0
3079,Kingsman: The Golden Circle,2017,6.8,44,211212,68.0
3080,War for the Planet of the Apes,2017,7.5,82,189254,75.0
3081,The Fate of the Furious,2017,6.7,56,170303,67.0
3082,The Greatest Showman,2017,7.7,48,169576,77.0
3083,Life,2017,6.6,54,168238,66.0
3084,Ghost in the Shell,2017,6.4,52,165090,64.0
3085,Murder on the Orient Express,2017,6.5,52,164980,65.0
3086,King Arthur: Legend of the Sword,2017,6.8,41,159302,68.0
3087,Lady Bird,2017,7.5,94,155934,75.0
3088,Wind River,2017,7.7,73,152023,77.0
3089,The Hitman's Bodyguard,2017,6.9,47,150061,69.0
3090,The Mummy,2017,5.5,34,144537,55.0
3091,Mother!,2017,6.6,75,141150,66.0
3092,Atomic Blonde,2017,6.7,63,139414,67.0
3093,Bright,2017,6.4,29,138862,64.0
3094,Call Me by Your Name,2017,7.9,93,133741,79.0
3095,Valerian and the City of a Thousand Planets,2017,6.5,51,130536,65.0
3096,Baywatch,2017,5.6,37,123190,56.0
3097,Darkest Hour,2017,7.4,75,120411,74.0
3098,American Made,2017,7.2,65,120005,72.0
3099,"I, Tonya",2017,7.5,77,119733,75.0
3100,Transformers: The Last Knight,2017,5.2,27,109458,52.0
3101,The Lego Batman Movie,2017,7.3,75,106772,73.0
3102,The Disaster Artist,2017,7.4,76,100056,74.0
3103,The Dark Tower,2017,5.7,34,100044,57.0
3104,Avengers: Infinity War,2018,8.5,68,532653,85.0
3105,Black Panther,2018,7.4,88,420513,74.0
3106,Deadpool 2,2018,7.8,66,309159,78.0
3107,Ready Player One,2018,7.6,64,245445,76.0
3108,A Quiet Place,2018,7.6,82,235211,76.0
3109,Annihilation,2018,6.9,79,185652,69.0
3110,Jurassic World: Fallen Kingdom,2018,6.2,51,178175,62.0
3111,Solo: A Star Wars Story,2018,7.0,62,177195,70.0
3112,Mission: Impossible - Fallout,2018,7.9,86,176524,79.0
3113,Ant-Man and the Wasp,2018,7.2,70,158308,72.0
3114,Venom,2018,6.9,35,151320,69.0
3115,Incredibles 2,2018,7.9,80,144552,79.0
3116,Tomb Raider,2018,6.4,48,140214,64.0
3117,Bohemian Rhapsody,2018,8.4,49,138402,84.0
3118,Game Night,2018,7.0,66,131353,70.0
3119,Red Sparrow,2018,6.6,53,114737,66.0
3120,A Star Is Born,2018,8.2,88,109414,82.0
3121,Ocean's Eight,2018,6.2,61,107945,62.0
3122,Hereditary,2018,7.3,87,107639,73.0
3123,Rampage,2018,6.2,45,93500,62.0
3124,Isle of Dogs,2018,7.9,82,81433,79.0
3125,Maze Runner: The Death Cure,2018,6.3,51,78411,63.0
3126,The Meg,2018,5.8,46,77908,58.0
3127,Pacific Rim: Uprising,2018,5.6,44,77229,56.0
3128,Fantastic Beasts: The Crimes of Grindelwald,2018,6.9,53,74866,69.0
3129,The Cloverfield Paradox,2018,5.6,37,74811,56.0
3130,Upgrade,2018,7.6,67,71399,76.0
3131,Sicario: Day of the Soldado,2018,7.1,61,69961,71.0
3132,The Commuter,2018,6.3,56,69744,63.0
3133,"Love, Simon",2018,7.7,72,67845,77.0
3134,The Nun,2018,5.5,46,62418,55.0
3135,BlacKkKlansman,2018,7.6,83,61239,76.0
3136,Skyscraper,2018,5.9,51,60455,59.0
3137,The Equalizer 2,2018,6.8,50,60095,68.0
3138,Tag,2018,6.6,56,59733,66.0
3139,Den of Thieves,2018,7.0,49,57946,70.0
3140,First Man,2018,7.6,84,55091,76.0
3141,The Predator,2018,5.6,48,54167,56.0
3142,Halloween,2018,7.0,67,51835,70.0
3143,Crazy Rich Asians,2018,7.2,74,50990,72.0
3144,Searching,2018,7.8,71,48709,78.0
3145,To All the Boys I've Loved Before,2018,7.3,64,45666,73.0
3146,Mamma Mia! Here We Go Again,2018,6.9,60,45135,69.0
3147,Blockers,2018,6.2,69,44563,62.0
3148,12 Strong,2018,6.6,54,41593,66.0
3149,Avengers: Infinity War,2018,8.5,68,532653,85.0
3150,Black Panther,2018,7.4,88,420513,74.0
3151,Deadpool 2,2018,7.8,66,309159,78.0
3152,Ready Player One,2018,7.6,64,245445,76.0
3153,A Quiet Place,2018,7.6,82,235211,76.0
3154,Annihilation,2018,6.9,79,185652,69.0
3155,Jurassic World: Fallen Kingdom,2018,6.2,51,178175,62.0
3156,Solo: A Star Wars Story,2018,7.0,62,177195,70.0
3157,Mission: Impossible - Fallout,2018,7.9,86,176524,79.0
3158,Ant-Man and the Wasp,2018,7.2,70,158308,72.0
3159,Venom,2018,6.9,35,151320,69.0
3160,Incredibles 2,2018,7.9,80,144552,79.0
3161,Tomb Raider,2018,6.4,48,140214,64.0
3162,Bohemian Rhapsody,2018,8.4,49,138402,84.0
3163,Game Night,2018,7.0,66,131353,70.0
3164,Red Sparrow,2018,6.6,53,114737,66.0
3165,A Star Is Born,2018,8.2,88,109414,82.0
3166,Ocean's Eight,2018,6.2,61,107945,62.0
3167,Hereditary,2018,7.3,87,107639,73.0
3168,Rampage,2018,6.2,45,93500,62.0
3169,Isle of Dogs,2018,7.9,82,81433,79.0
3170,Maze Runner: The Death Cure,2018,6.3,51,78411,63.0
3171,The Meg,2018,5.8,46,77908,58.0
3172,Pacific Rim: Uprising,2018,5.6,44,77229,56.0
3173,Fantastic Beasts: The Crimes of Grindelwald,2018,6.9,53,74866,69.0
3174,The Cloverfield Paradox,2018,5.6,37,74811,56.0
3175,Upgrade,2018,7.6,67,71399,76.0
3176,Sicario: Day of the Soldado,2018,7.1,61,69961,71.0
3177,The Commuter,2018,6.3,56,69744,63.0
3178,"Love, Simon",2018,7.7,72,67845,77.0
3179,The Nun,2018,5.5,46,62418,55.0
3180,BlacKkKlansman,2018,7.6,83,61239,76.0
3181,Skyscraper,2018,5.9,51,60455,59.0
3182,The Equalizer 2,2018,6.8,50,60095,68.0
3183,Tag,2018,6.6,56,59733,66.0
3184,Den of Thieves,2018,7.0,49,57946,70.0
3185,First Man,2018,7.6,84,55091,76.0
3186,The Predator,2018,5.6,48,54167,56.0
3187,Halloween,2018,7.0,67,51835,70.0
3188,Crazy Rich Asians,2018,7.2,74,50990,72.0
3189,Searching,2018,7.8,71,48709,78.0
3190,To All the Boys I've Loved Before,2018,7.3,64,45666,73.0
3191,Mamma Mia! Here We Go Again,2018,6.9,60,45135,69.0
3192,Blockers,2018,6.2,69,44563,62.0
3193,12 Strong,2018,6.6,54,41593,66.0
3194,Avengers: Infinity War,2018,8.5,68,532653,85.0
3195,Black Panther,2018,7.4,88,420513,74.0
3196,Deadpool 2,2018,7.8,66,309159,78.0
3197,Ready Player One,2018,7.6,64,245445,76.0
3198,A Quiet Place,2018,7.6,82,235211,76.0
3199,Annihilation,2018,6.9,79,185652,69.0
3200,Jurassic World: Fallen Kingdom,2018,6.2,51,178175,62.0
3201,Solo: A Star Wars Story,2018,7.0,62,177195,70.0
3202,Mission: Impossible - Fallout,2018,7.9,86,176524,79.0
3203,Ant-Man and the Wasp,2018,7.2,70,158308,72.0
3204,Venom,2018,6.9,35,151320,69.0
3205,Incredibles 2,2018,7.9,80,144552,79.0
3206,Tomb Raider,2018,6.4,48,140214,64.0
3207,Bohemian Rhapsody,2018,8.4,49,138402,84.0
3208,Game Night,2018,7.0,66,131353,70.0
3209,Red Sparrow,2018,6.6,53,114737,66.0
3210,A Star Is Born,2018,8.2,88,109414,82.0
3211,Ocean's Eight,2018,6.2,61,107945,62.0
3212,Hereditary,2018,7.3,87,107639,73.0
3213,Rampage,2018,6.2,45,93500,62.0
3214,Isle of Dogs,2018,7.9,82,81433,79.0
3215,Maze Runner: The Death Cure,2018,6.3,51,78411,63.0
3216,The Meg,2018,5.8,46,77908,58.0
3217,Pacific Rim: Uprising,2018,5.6,44,77229,56.0
3218,Fantastic Beasts: The Crimes of Grindelwald,2018,6.9,53,74866,69.0
3219,The Cloverfield Paradox,2018,5.6,37,74811,56.0
3220,Upgrade,2018,7.6,67,71399,76.0
3221,Sicario: Day of the Soldado,2018,7.1,61,69961,71.0
3222,The Commuter,2018,6.3,56,69744,63.0
3223,"Love, Simon",2018,7.7,72,67845,77.0
3224,The Nun,2018,5.5,46,62418,55.0
3225,BlacKkKlansman,2018,7.6,83,61239,76.0
3226,Skyscraper,2018,5.9,51,60455,59.0
3227,The Equalizer 2,2018,6.8,50,60095,68.0
3228,Tag,2018,6.6,56,59733,66.0
3229,Den of Thieves,2018,7.0,49,57946,70.0
3230,First Man,2018,7.6,84,55091,76.0
3231,The Predator,2018,5.6,48,54167,56.0
3232,Halloween,2018,7.0,67,51835,70.0
3233,Crazy Rich Asians,2018,7.2,74,50990,72.0
3234,Searching,2018,7.8,71,48709,78.0
3235,To All the Boys I've Loved Before,2018,7.3,64,45666,73.0
3236,Mamma Mia! Here We Go Again,2018,6.9,60,45135,69.0
3237,Blockers,2018,6.2,69,44563,62.0
3238,12 Strong,2018,6.6,54,41593,66.0
3239,Avengers: Infinity War,2018,8.5,68,532653,85.0
3240,Black Panther,2018,7.4,88,420513,74.0
3241,Deadpool 2,2018,7.8,66,309159,78.0
3242,Ready Player One,2018,7.6,64,245445,76.0
3243,A Quiet Place,2018,7.6,82,235211,76.0
3244,Annihilation,2018,6.9,79,185652,69.0
3245,Jurassic World: Fallen Kingdom,2018,6.2,51,178175,62.0
3246,Solo: A Star Wars Story,2018,7.0,62,177195,70.0
3247,Mission: Impossible - Fallout,2018,7.9,86,176524,79.0
3248,Ant-Man and the Wasp,2018,7.2,70,158308,72.0
3249,Venom,2018,6.9,35,151320,69.0
3250,Incredibles 2,2018,7.9,80,144552,79.0
3251,Tomb Raider,2018,6.4,48,140214,64.0
3252,Bohemian Rhapsody,2018,8.4,49,138402,84.0
3253,Game Night,2018,7.0,66,131353,70.0
3254,Red Sparrow,2018,6.6,53,114737,66.0
3255,A Star Is Born,2018,8.2,88,109414,82.0
3256,Ocean's Eight,2018,6.2,61,107945,62.0
3257,Hereditary,2018,7.3,87,107639,73.0
3258,Rampage,2018,6.2,45,93500,62.0
3259,Isle of Dogs,2018,7.9,82,81433,79.0
3260,Maze Runner: The Death Cure,2018,6.3,51,78411,63.0
3261,The Meg,2018,5.8,46,77908,58.0
3262,Pacific Rim: Uprising,2018,5.6,44,77229,56.0
3263,Fantastic Beasts: The Crimes of Grindelwald,2018,6.9,53,74866,69.0
3264,The Cloverfield Paradox,2018,5.6,37,74811,56.0
3265,Upgrade,2018,7.6,67,71399,76.0
3266,Sicario: Day of the Soldado,2018,7.1,61,69961,71.0
3267,The Commuter,2018,6.3,56,69744,63.0
3268,"Love, Simon",2018,7.7,72,67845,77.0
3269,The Nun,2018,5.5,46,62418,55.0
3270,BlacKkKlansman,2018,7.6,83,61239,76.0
3271,Skyscraper,2018,5.9,51,60455,59.0
3272,The Equalizer 2,2018,6.8,50,60095,68.0
3273,Tag,2018,6.6,56,59733,66.0
3274,Den of Thieves,2018,7.0,49,57946,70.0
3275,First Man,2018,7.6,84,55091,76.0
3276,The Predator,2018,5.6,48,54167,56.0
3277,Halloween,2018,7.0,67,51835,70.0
3278,Crazy Rich Asians,2018,7.2,74,50990,72.0
3279,Searching,2018,7.8,71,48709,78.0
3280,To All the Boys I've Loved Before,2018,7.3,64,45666,73.0
3281,Mamma Mia! Here We Go Again,2018,6.9,60,45135,69.0
3282,Blockers,2018,6.2,69,44563,62.0
3283,12 Strong,2018,6.6,54,41593,66.0
